,id,price,neighbourhood_group_cleansed,latitude,longitude,bathrooms,availability_30,beds,bedrooms,review_scores_value,bed_type,minimum_nights,maximum_nights,availability_365,property_type,is_business_travel_ready,cleaning_fee,room_type,square_feet,guests_included
21551,28684898,$50.00,Neukölln,52.473977930224684,13.4544233728372,1.0,18,2.0,2.0,9.0,Real Bed,1,13,73,Apartment,f,$0.00,Private room,,1
16933,22607348,$10.00,Treptow - Köpenick,52.46809456346608,13.487102713175187,1.0,0,1.0,1.0,9.0,Real Bed,30,1124,156,Apartment,f,,Private room,,1
15170,21019199,$35.00,Neukölln,52.48180999408074,13.437268431733367,1.0,0,1.0,1.0,9.0,Real Bed,1,1125,0,Apartment,f,$15.00,Private room,,1
16161,21919556,$99.00,Pankow,52.53726876053642,13.41603623492909,2.0,0,2.0,2.0,,Real Bed,14,41,35,Apartment,f,$50.00,Entire home/apt,,1
3195,4820648,$39.00,Friedrichshain-Kreuzberg,52.49148255880568,13.387361964122832,1.0,0,1.0,1.0,9.0,Real Bed,60,1125,289,Apartment,f,,Entire home/apt,,1
19031,25152229,$39.00,Mitte,52.54007860046589,13.381312194747494,1.0,26,1.0,1.0,5.0,Real Bed,25,1125,361,Apartment,f,$36.00,Private room,,1
8115,11918502,$32.00,Friedrichshain-Kreuzberg,52.49468331898793,13.404214091104693,1.0,0,1.0,1.0,9.0,Real Bed,1,1125,0,Apartment,f,,Private room,,1
9748,14531087,$70.00,Pankow,52.540249570945356,13.407610273831313,1.0,0,1.0,1.0,,Real Bed,5,9,0,Apartment,f,$20.00,Entire home/apt,,1
11505,17221202,$45.00,Neukölln,52.470521740220406,13.433301197542935,1.0,0,1.0,0.0,10.0,Real Bed,2,3,0,Apartment,f,,Entire home/apt,,1
464,486192,$45.00,Mitte,52.5287404497531,13.406897218951032,1.0,0,1.0,1.0,10.0,Real Bed,3,1125,304,Apartment,f,$10.00,Private room,,1
21425,28513864,$55.00,Mitte,52.52949322644314,13.326572720449553,1.0,3,1.0,0.0,7.0,Real Bed,3,1125,24,Apartment,f,,Entire home/apt,,1
4369,6753886,$60.00,Neukölln,52.488326353766546,13.426096465113602,1.0,0,1.0,1.0,9.0,Real Bed,14,30,0,Apartment,f,$30.00,Private room,,2
11210,16746296,$60.00,Friedrichshain-Kreuzberg,52.49358870158557,13.415871219170434,1.0,0,1.0,1.0,10.0,Real Bed,2,14,0,Apartment,f,$19.00,Private room,,1
4237,6585229,$45.00,Mitte,52.52754256313721,13.403893026211346,1.0,0,1.0,1.0,10.0,Real Bed,7,1125,0,Apartment,f,,Private room,,1
14711,20646297,$53.00,Tempelhof - Schöneberg,52.46976064852755,13.340647646893373,1.0,0,2.0,1.0,9.0,Real Bed,2,1125,0,Apartment,f,$0.00,Entire home/apt,,1
11697,17458754,$59.00,Neukölln,52.484590794980505,13.43199113531424,2.0,0,3.0,3.0,10.0,Real Bed,5,1125,0,Apartment,f,$30.00,Entire home/apt,,2
18301,24052666,$55.00,Friedrichshain-Kreuzberg,52.51076169179425,13.467031019311905,1.0,0,1.0,0.0,9.0,Real Bed,2,1125,0,Apartment,f,$50.00,Entire home/apt,,1
22356,29673996,$30.00,Tempelhof - Schöneberg,52.46164096038531,13.38096287054034,1.0,0,1.0,0.0,,Real Bed,88,1125,103,Apartment,f,$50.00,Entire home/apt,,2
22195,29479322,$99.00,Friedrichshain-Kreuzberg,52.5074223733155,13.46775638705238,2.0,1,2.0,2.0,,Real Bed,6,1125,19,Apartment,f,$35.00,Entire home/apt,,2
12749,18764398,$25.00,Lichtenberg,52.51186067336955,13.50765110222496,1.0,0,2.0,1.0,10.0,Real Bed,1,14,0,Apartment,f,,Private room,,1
794,831316,$59.00,Neukölln,52.4845746118895,13.434592562094554,1.0,0,1.0,1.0,9.0,Real Bed,4,30,248,Apartment,f,$20.00,Entire home/apt,,1
21880,29092022,$35.00,Friedrichshain-Kreuzberg,52.49758514350904,13.384717406630488,1.0,0,1.0,1.0,10.0,Real Bed,2,1125,0,Apartment,f,$20.00,Private room,,1
6886,9918387,$79.00,Neukölln,52.4680850459167,13.434919047105328,1.0,0,2.0,2.0,9.0,Real Bed,2,1125,0,Apartment,f,$40.00,Entire home/apt,,2
20444,27288541,$97.00,Neukölln,52.475868688145994,13.425274346818409,1.0,4,2.0,2.0,9.0,Real Bed,1,9,166,Apartment,f,$40.00,Entire home/apt,,2
13941,19979065,$49.00,Tempelhof - Schöneberg,52.49149468017646,13.368347286009953,1.0,0,1.0,1.0,10.0,Real Bed,2,1125,94,Apartment,f,$25.00,Entire home/apt,,1
10798,16251071,$60.00,Pankow,52.545988962921925,13.408836186324944,1.5,0,1.0,1.0,9.0,Real Bed,5,20,12,Apartment,f,$15.00,Entire home/apt,,2
6661,9663247,$39.00,Neukölln,52.478406821885,13.450983440008168,1.0,0,3.0,1.0,9.0,Real Bed,4,1125,0,Apartment,f,,Private room,,3
12694,18700480,$90.00,Friedrichshain-Kreuzberg,52.49382885649453,13.433194520073092,1.0,0,3.0,1.0,9.0,Real Bed,1,10,0,Apartment,f,$15.00,Private room,,1
13738,19794276,$199.00,Lichtenberg,52.53655837474227,13.482837174844153,2.0,13,4.0,2.0,9.0,Real Bed,3,1125,271,House,f,$60.00,Entire home/apt,,8
10575,15980239,$25.00,Mitte,52.51162024434826,13.39371438170441,2.0,0,2.0,1.0,10.0,Real Bed,1,1125,0,Loft,f,$8.00,Private room,,1
18981,25072567,$49.00,Neukölln,52.48680101434499,13.436440534640427,1.0,0,2.0,2.0,9.0,Real Bed,3,30,0,Apartment,f,$20.00,Entire home/apt,,1
3042,4648475,$70.00,Lichtenberg,52.54202496426979,13.494769753014806,1.0,0,2.0,2.0,9.0,Real Bed,1,330,326,Apartment,f,$40.00,Entire home/apt,,2
1043,1176927,$100.00,Friedrichshain-Kreuzberg,52.4881915769462,13.392970765536251,1.0,0,1.0,1.0,9.0,Real Bed,1,14,0,Apartment,f,$30.00,Entire home/apt,,2
